DISTRITO_NORM,POPULACAO_2020
ALTO DE PINHEIROS,40962.0
ANHANGUERA,84719.0
ARICANDUVA,85868.0
ARTUR ALVIM,100462.0
BARRA FUNDA,16115.0
BELA VISTA,73235.0
BELEM,49213.0
BOM RETIRO,38877.0
BRASILANDIA,281977.0
BRAS,33045.0
BUTANTA,53836.0
CACHOEIRINHA,146387.0
CAMBUCI,40667.0
CAMPO BELO,63744.0
CAMPO GRANDE,106722.0
CAMPO LIMPO,228893.0
CANGAIBA,138107.0
CAPAO REDONDO,296378.0
CARRAO,84925.0
CASA VERDE,86004.0
CIDADE ADEMAR,285677.0
CIDADE DUTRA,203131.0
CIDADE LIDER,135247.0
CIDADE TIRADENTES,235630.0
CONSOLACAO,57405.0
CURSINO,113728.0
ERMELINO MATARAZZO,118715.0
FREGUESIA DO O,140083.0
GRAJAU,390096.0
GUAIANASES,109730.0
IGUATEMI,149739.0
IPIRANGA,112222.0
ITAIM BIBI,97229.0
ITAIM PAULISTA,234912.0
ITAQUERA,211555.0
JABAQUARA,229346.0
JAGUARA,23950.0
JAGUARE,55192.0
JARAGUA,212819.0
JARDIM HELENA,135605.0
JARDIM PAULISTA,90719.0
JARDIM SAO LUIS,293660.0
JARDIM ANGELA,338265.0
JACANA,96054.0
JOSE BONIFACIO,136560.0
LAJEADO,174539.0
LAPA,67170.0
LIBERDADE,72797.0
LIMAO,79657.0
MANDAQUI,109228.0
MARSILAC,8426.0
MOEMA,89382.0
MOOCA,80330.0
MORUMBI,52921.0
PARELHEIROS,153598.0
PARI,19069.0
PARQUE DO CARMO,71749.0
PEDREIRA,160976.0
PENHA,129100.0
PERDIZES,114788.0
PERUS,89310.0
PINHEIROS,65909.0
PIRITUBA,171232.0
PONTE RASA,89774.0
RAPOSO TAVARES,107426.0
REPUBLICA,61832.0
RIO PEQUENO,123711.0
SACOMA,263621.0
SANTA CECILIA,88518.0
SANTANA,113253.0
SANTO AMARO,74447.0
SAPOPEMBA,289759.0
SAUDE,134147.0
SOCORRO,36033.0
SAO DOMINGOS,86403.0
SAO LUCAS,142948.0
SAO MATEUS,155387.0
SAO MIGUEL,89173.0
SAO RAFAEL,159683.0
SE,26693.0
TATUAPE,96045.0
TREMEMBE,223553.0
TUCURUVI,96358.0
VILA ANDRADE,163508.0
VILA CURUCA,153500.0
VILA FORMOSA,94100.0
VILA GUILHERME,57079.0
VILA JACUI,145836.0
VILA LEOPOLDINA,45092.0
VILA MARIA,114025.0
VILA MARIANA,132226.0
VILA MATILDE,105575.0
VILA MEDEIROS,123456.0
VILA PRUDENTE,104686.0
VILA SONIA,121663.0
AGUA RASA,82564.0
